td,to,te,fio,fik,pH,tg,Temp,Mod,F,pHs,pHo,alpha1,alpha2,expid,column
2.1,0.532,0.04,0.05,0.8,5,90,35,MeOH,0.5,5.8,5.838223734,0.137227161,2.020370569,56,1
2.1,0.532,0.04,0.05,0.8,5,30,25,MeOH,0.5,5.8,5.817304809,0.089027525,2.270643676,58,1
2.1,0.532,0.04,0.05,0.8,5,90,25,MeOH,0.5,5.8,5.817304809,0.089027525,2.270643676,59,1
2.1,0.532,0.04,0.05,0.8,7,30,25,ACN,0.5,8.9,8.875880368,-0.911375174,-0.431380529,61,1
2.1,0.532,0.04,0.05,0.8,7,90,25,ACN,0.5,8.9,8.875880368,-0.911375174,-0.431380529,62,1
2.1,0.532,0.04,0.05,0.8,7,30,35,ACN,0.5,8.9,8.568016494,-1.119237442,-0.228081825,63,1
2.1,0.532,0.04,0.05,0.8,7,90,35,ACN,0.5,8.9,8.568016494,-1.119237442,-0.228081825,64,1
2.1,0.532,0.04,0.05,0.8,7,30,35,MeOH,0.5,8.9,8.58001553,-1.194476813,0.442390489,65,1
2.1,0.532,0.04,0.05,0.8,7,90,35,MeOH,0.5,8.9,8.58001553,-1.194476813,0.442390489,66,1
2.1,0.532,0.04,0.05,0.8,7,30,25,MeOH,0.5,8.9,8.890530149,-0.858346364,0.040227054,67,1
2.1,0.532,0.04,0.05,0.8,7,90,25,MeOH,0.5,8.9,8.890530149,-0.858346364,0.040227054,68,1
2.1,0.532,0.04,0.05,0.8,8,30,25,ACN,0.5,9.7,9.620315947,-0.384873086,-1.05481418,69,1
2.1,0.532,0.04,0.05,0.8,8,90,25,ACN,0.5,9.7,9.620315947,-0.384873086,-1.05481418,70,1
2.1,0.532,0.04,0.05,0.8,8,30,35,ACN,0.5,9.7,9.319467709,-0.495518903,-1.039177466,71,1
2.1,0.532,0.04,0.05,0.8,8,90,35,ACN,0.5,9.7,9.319467709,-0.495518903,-1.039177466,72,1
2.1,0.532,0.04,0.05,0.8,8,30,35,MeOH,0.5,9.7,9.329717254,-0.910215273,0.138545571,73,1
2.1,0.532,0.04,0.05,0.8,8,90,35,MeOH,0.5,9.7,9.329717254,-0.910215273,0.138545571,74,1
2.1,0.532,0.04,0.05,0.8,8,30,25,MeOH,0.5,9.7,9.628639285,-0.612910999,-0.183249438,75,1
2.1,0.532,0.04,0.05,0.8,8,90,25,MeOH,0.5,9.7,9.628639285,-0.612910999,-0.183249438,76,1
2.1,0.532,0.04,0.05,0.8,3,30,25,ACN,0.5,4.1,4.172955446,0.345602442,2.301831423,77,1
